s_no,date,total_tests,daily_cases,district
1,2020-08-01,893,207,Nanded
2,2020-08-02,634,79,Nanded
3,2020-08-03,884,153,Nanded
4,2020-08-04,520,141,Nanded
5,2020-08-05,787,112,Nanded
6,2020-08-06,934,188,Nanded
7,2020-08-07,855,112,Nanded
8,2020-08-08,970,141,Nanded
9,2020-08-09,1189,142,Nanded
10,2020-08-10,1241,122,Nanded
11,2020-08-11,1145,114,Nanded
12,2020-08-12,1100,66,Nanded
13,2020-08-13,1112,153,Nanded
14,2020-08-14,1142,135,Nanded
15,2020-08-15,842,78,Nanded
16,2020-08-16,774,123,Nanded
17,2020-08-17,1339,298,Nanded
18,2020-08-18,1797,173,Nanded
19,2020-08-19,2275,252,Nanded
20,2020-08-20,1598,294,Nanded
21,2020-08-21,1548,173,Nanded
22,2020-08-22,481,86,Nanded
23,2020-08-23,1069,188,Nanded
24,2020-08-24,1055,171,Nanded
25,2020-08-25,1086,261,Nanded
26,2020-08-26,643,225,Nanded
27,2020-08-27,996,278,Nanded
28,2020-08-28,1039,296,Nanded
29,2020-08-29,1218,335,Nanded
30,2020-08-30,1119,262,Nanded
31,2020-08-31,1422,374,Nanded
32,2020-09-01,1413,357,Nanded
33,2020-09-02,1313,316,Nanded
34,2020-09-03,1733,399,Nanded
35,2020-09-04,1670,374,Nanded
36,2020-09-05,1283,393,Nanded
37,2020-09-06,844,225,Nanded
38,2020-09-07,1712,461,Nanded
39,2020-09-08,1398,331,Nanded
40,2020-09-09,1582,403,Nanded
41,2020-09-10,1618,443,Nanded
42,2020-09-11,1069,306,Nanded
43,2020-09-12,1274,320,Nanded
44,2020-09-13,644,200,Nanded
45,2020-09-14,1144,300,Nanded
46,2020-09-15,1671,421,Nanded
47,2020-09-16,1259,309,Nanded
48,2020-09-17,989,265,Nanded
49,2020-09-18,1363,309,Nanded
50,2020-09-19,1328,271,Nanded
51,2020-09-20,585,163,Nanded
52,2020-09-21,975,193,Nanded
53,2020-09-22,1077,271,Nanded
54,2020-09-23,1134,273,Nanded
55,2020-09-24,1046,253,Nanded
56,2020-09-25,1040,283,Nanded
57,2020-09-26,1057,293,Nanded
58,2020-09-27,616,111,Nanded
59,2020-09-28,979,231,Nanded
60,2020-09-29,982,234,Nanded
61,2020-09-30,1046,211,Nanded
62,2020-10-01,998,165,Nanded
63,2020-10-02,726,108,Nanded
64,2020-10-03,973,123,Nanded
65,2020-10-04,597,214,Nanded
66,2020-10-05,805,162,Nanded
67,2020-10-06,1026,186,Nanded
68,2020-10-07,1139,159,Nanded
69,2020-10-08,923,150,Nanded
70,2020-10-09,1143,137,Nanded
71,2020-10-10,952,116,Nanded
72,2020-10-11,480,92,Nanded
73,2020-10-12,1055,98,Nanded
74,2020-10-13,1060,56,Nanded
75,2020-10-14,1033,112,Nanded
76,2020-10-15,786,68,Nanded
77,2020-10-16,966,131,Nanded
78,2020-10-17,718,83,Nanded
79,2020-10-18,294,51,Nanded
80,2020-10-19,1019,71,Nanded
81,2020-10-20,1241,67,Nanded
82,2020-10-21,1074,123,Nanded
83,2020-10-22,1354,67,Nanded
84,2020-10-23,831,102,Nanded
85,2020-10-24,941,68,Nanded
86,2020-10-25,901,34,Nanded
87,2020-10-26,1376,80,Nanded
88,2020-10-27,1669,72,Nanded
89,2020-10-28,1383,64,Nanded
90,2020-10-29,1375,59,Nanded
91,2020-10-30,1187,57,Nanded
92,2020-10-31,724,40,Nanded
93,2020-11-01,644,31,Nanded
94,2020-11-02,1024,38,Nanded
95,2020-11-03,917,49,Nanded
96,2020-11-04,1473,34,Nanded
97,2020-11-05,941,46,Nanded
98,2020-11-06,836,47,Nanded
99,2020-11-07,723,20,Nanded
100,2020-11-08,513,21,Nanded
101,2020-11-09,949,28,Nanded
102,2020-11-10,1419,30,Nanded
103,2020-11-11,1328,31,Nanded
104,2020-11-12,1039,20,Nanded
105,2020-11-13,712,26,Nanded
106,2020-11-14,480,13,Nanded
107,2020-11-15,742,15,Nanded
108,2020-11-16,562,34,Nanded
109,2020-11-17,1169,39,Nanded
110,2020-11-18,1317,67,Nanded
111,2020-11-19,1399,57,Nanded
112,2020-11-20,1920,74,Nanded
113,2020-11-21,2113,67,Nanded
114,2020-11-22,2247,37,Nanded
115,2020-11-23,2374,67,Nanded
116,2020-11-24,2228,53,Nanded
117,2020-11-25,1578,37,Nanded
118,2020-11-26,1870,53,Nanded
119,2020-11-27,1601,57,Nanded
120,2020-11-28,1439,50,Nanded
121,2020-11-29,907,27,Nanded
122,2020-11-30,899,20,Nanded
123,2020-12-01,1169,44,Nanded
124,2020-12-02,1274,27,Nanded
125,2020-12-03,1091,44,Nanded
126,2020-12-04,968,38,Nanded
127,2020-12-05,1247,30,Nanded
128,2020-12-06,532,12,Nanded
129,2020-12-07,879,49,Nanded
130,2020-12-08,1062,25,Nanded
131,2020-12-09,650,23,Nanded
132,2020-12-10,985,65,Nanded
133,2020-12-11,986,22,Nanded
134,2020-12-12,648,33,Nanded
135,2020-12-13,690,8,Nanded
136,2020-12-14,846,15,Nanded
137,2020-12-15,933,47,Nanded
138,2020-12-16,1065,21,Nanded
139,2020-12-17,1328,19,Nanded
140,2020-12-18,1252,56,Nanded
141,2020-12-19,1073,48,Nanded
142,2020-12-20,508,13,Nanded
143,2020-12-21,719,69,Nanded
144,2020-12-22,1166,50,Nanded
145,2020-12-23,1181,38,Nanded
146,2020-12-24,1318,11,Nanded
147,2020-12-25,800,19,Nanded
148,2020-12-26,892,24,Nanded
149,2020-12-27,1211,37,Nanded
150,2020-12-28,590,27,Nanded
151,2020-12-29,1103,67,Nanded
152,2020-12-30,1293,55,Nanded
153,2020-12-31,979,39,Nanded
154,2021-01-01,917,37,Nanded
155,2021-01-02,783,27,Nanded
156,2021-01-03,783,28,Nanded
157,2021-01-04,887,59,Nanded
158,2021-01-05,951,37,Nanded
159,2021-01-06,797,43,Nanded
160,2021-01-07,944,32,Nanded
161,2021-01-08,883,34,Nanded
162,2021-01-09,962,37,Nanded
163,2021-01-10,600,18,Nanded
164,2021-01-11,731,52,Nanded
165,2021-01-12,851,45,Nanded
166,2021-01-13,938,44,Nanded
167,2021-01-14,650,18,Nanded
168,2021-01-15,642,21,Nanded
169,2021-01-16,503,52,Nanded
170,2021-01-17,478,21,Nanded
171,2021-01-18,614,29,Nanded
172,2021-01-19,583,22,Nanded
173,2021-01-20,891,23,Nanded
174,2021-01-21,1558,41,Nanded
175,2021-01-22,1237,21,Nanded
176,2021-01-23,848,6,Nanded
177,2021-01-24,1921,7,Nanded
178,2021-01-25,1826,51,Nanded
179,2021-01-26,1483,58,Nanded
180,2021-01-27,1239,32,Nanded
181,2021-01-28,862,31,Nanded
182,2021-01-29,879,31,Nanded
183,2021-01-30,1310,51,Nanded
184,2021-01-31,441,22,Nanded
185,2021-02-01,700,22,Nanded
186,2021-02-02,581,16,Nanded
187,2021-02-03,499,18,Nanded
188,2021-02-04,396,11,Nanded
189,2021-02-05,430,27,Nanded
190,2021-02-06,308,16,Nanded
191,2021-02-07,216,19,Nanded
192,2021-02-08,386,28,Nanded
193,2021-02-09,343,6,Nanded
194,2021-02-10,563,30,Nanded
195,2021-02-11,263,9,Nanded
196,2021-02-12,574,38,Nanded
197,2021-02-13,296,24,Nanded
198,2021-02-14,505,45,Nanded
199,2021-02-15,868,22,Nanded
200,2021-02-16,1035,25,Nanded
201,2021-02-17,952,46,Nanded
202,2021-02-18,816,56,Nanded
203,2021-02-19,491,42,Nanded
204,2021-02-20,716,61,Nanded
205,2021-02-21,492,39,Nanded
206,2021-02-22,648,61,Nanded
207,2021-02-23,1452,123,Nanded
208,2021-02-24,1591,67,Nanded
209,2021-02-25,1296,90,Nanded
210,2021-02-26,1326,93,Nanded
211,2021-02-27,1638,108,Nanded
212,2021-02-28,820,95,Nanded
213,2021-03-01,700,70,Nanded
214,2021-03-02,1425,90,Nanded
215,2021-03-03,1443,73,Nanded
216,2021-03-04,1635,166,Nanded
217,2021-03-05,1659,194,Nanded
218,2021-03-06,1736,237,Nanded
219,2021-03-07,761,104,Nanded
220,2021-03-08,1070,193,Nanded
221,2021-03-09,1534,228,Nanded
222,2021-03-10,1075,217,Nanded
223,2021-03-11,908,398,Nanded
224,2021-03-12,1895,674,Nanded
225,2021-03-13,2061,422,Nanded
226,2021-03-14,2030,454,Nanded
227,2021-03-15,2257,687,Nanded
228,2021-03-16,2489,678,Nanded
229,2021-03-17,2398,704,Nanded
230,2021-03-18,4264,781,Nanded
231,2021-03-19,4308,1075,Nanded
232,2021-03-20,4830,1183,Nanded
233,2021-03-21,4412,1112,Nanded
234,2021-03-22,4765,1394,Nanded
235,2021-03-23,3943,1060,Nanded
236,2021-03-24,4879,1486,Nanded
237,2021-03-25,4277,1150,Nanded
238,2021-03-26,3993,1162,Nanded
239,2021-03-27,3845,1233,Nanded
240,2021-03-28,3045,1070,Nanded
241,2021-03-29,3708,1060,Nanded
242,2021-03-30,5365,1365,Nanded
243,2021-03-31,4880,1414,Nanded
244,2021-04-01,5112,1368,Nanded
245,2021-04-02,5711,1280,Nanded
246,2021-04-03,6171,1349,Nanded
247,2021-04-04,4991,1013,Nanded
248,2021-04-05,5152,1406,Nanded
249,2021-04-06,5874,1507,Nanded
250,2021-04-07,5537,1406,Nanded
251,2021-04-08,7020,1919,Nanded
252,2021-04-09,6448,1868,Nanded
253,2021-04-10,5653,1668,Nanded
254,2021-04-11,6614,2013,Nanded
255,2021-04-12,6202,1686,Nanded
256,2021-04-13,5215,1590,Nanded
257,2021-04-14,4417,1307,Nanded
258,2021-04-15,5288,1408,Nanded
259,2021-04-16,6260,1579,Nanded
260,2021-04-17,5662,1321,Nanded
261,2021-04-18,4974,1446,Nanded
262,2021-04-19,4290,1163,Nanded
263,2021-04-20,4558,1380,Nanded
264,2021-04-21,4018,1169,Nanded
265,2021-04-22,4561,1295,Nanded
266,2021-04-23,3771,921,Nanded
267,2021-04-24,4318,1153,Nanded
268,2021-04-25,3288,893,Nanded
269,2021-04-26,4414,1074,Nanded
270,2021-04-27,3303,673,Nanded
271,2021-04-28,3320,866,Nanded
272,2021-04-29,2868,683,Nanded
273,2021-04-30,2612,593,Nanded
274,2021-05-01,2045,383,Nanded
